New York, New York, Maximum Temperature, January
Units: Degrees Fahrenheit
Base Period: 1901-2000
Missing: -99
Date,Value,Anomaly
189501,34.7,-2.9
189601,34.8,-2.8
189701,35.6,-2.0
189801,40.1,2.5
189901,36.5,-1.1
190001,38.6,1.0
190101,37.9,0.3
190201,36.1,-1.5
190301,36.4,-1.2
190401,29.6,-8.0
190501,33.5,-4.1
190601,42.1,4.5
190701,40.4,2.8
190801,38.1,0.5
190901,40.6,3.0
191001,37.1,-0.5
191101,41.7,4.1
191201,29.5,-8.1
191301,47.1,9.5
191401,37.1,-0.5
191501,39.1,1.5
191601,42.5,4.9
191701,38.6,1.0
191801,26.7,-10.9
191901,40.8,3.2
192001,30.0,-7.6
192101,40.0,2.4
192201,33.6,-4.0
192301,35.5,-2.1
192401,39.6,2.0
192501,34.1,-3.5
192601,37.5,-0.1
192701,37.0,-0.6
192801,40.2,2.6
192901,38.1,0.5
193001,38.8,1.2
193101,38.4,0.8
193201,47.9,10.3
193301,45.9,8.3
193401,40.1,2.5
193501,35.3,-2.3
193601,34.5,-3.1
193701,45.9,8.3
193801,37.5,-0.1
193901,37.0,-0.6
194001,30.2,-7.4
194101,34.8,-2.8
194201,36.8,-0.8
194301,36.4,-1.2
194401,39.2,1.6
194501,31.7,-5.9
194601,40.4,2.8
194701,43.3,5.7
194801,30.4,-7.2
194901,43.8,6.2
195001,48.4,10.8
195101,42.6,5.0
195201,42.7,5.1
195301,42.7,5.1
195401,37.3,-0.3
195501,35.9,-1.7
195601,36.5,-1.1
195701,34.0,-3.6
195801,36.7,-0.9
195901,37.3,-0.3
196001,38.1,0.5
196101,32.1,-5.5
196201,38.1,0.5
196301,34.8,-2.8
196401,40.3,2.7
196501,34.1,-3.5
196601,37.0,-0.6
196701,41.5,3.9
196801,31.6,-6.0
196901,35.6,-2.0
197001,29.8,-7.8
197101,31.4,-6.2
197201,40.4,2.8
197301,40.4,2.8
197401,40.4,2.8
197501,42.4,4.8
197601,33.2,-4.4
197701,26.8,-10.8
197801,32.9,-4.7
197901,37.0,-0.6
198001,37.8,0.2
198101,30.6,-7.0
198201,30.9,-6.7
198301,38.0,0.4
198401,33.5,-4.1
198501,33.0,-4.6
198601,39.2,1.6
198701,35.9,-1.7
198801,34.2,-3.4
198901,42.4,4.8
199001,45.9,8.3
199101,39.6,2.0
199201,40.9,3.3
199301,40.9,3.3
199401,31.6,-6.0
199501,42.1,4.5
199601,37.0,-0.6
199701,39.2,1.6
199801,45.8,8.2
199901,40.8,3.2
200001,37.8,0.2
200101,38.8,1.2
200201,45.4,7.8
200301,32.9,-4.7
200401,31.0,-6.6
200501,37.4,-0.2
200601,47.6,10.0
200701,43.6,6.0
200801,42.4,4.8
200901,33.4,-4.2
201001,38.1,0.5
201101,34.8,-2.8
201201,44.2,6.6
201301,40.8,3.2
201401,35.5,-2.1
201501,36.1,-1.5
201601,40.8,3.2
201701,42.8,5.2
201801,38.7,1.1
201901,39.0,1.4
202001,45.2,7.6
202101,39.7,2.1
